Camera,Type,Measure 2
6045,MX,788
10336,MX,505
10026,MX,481
3677,MX,420
6014,MX,383
3852,MX,359
1873,MX,356
6028,MX,356
4070,MX,307
7108,MX,280
6331,MX,221
1124,MX,195
1137,MX,184
6827,MX,182
1640,MX,171
1883,MX,170
6784,MX,161
1629,MX,152
6036,MX,142
7128,MX,137
1510,MX,134
6021,MX,133
3956,MX,132
6013,MX,120
1810,MX,119
1199,MX,113
6130,MX,108
3938,MX,105
6537,MX,105
7315,MX,94
6852,MX,91
4607,MX,90
1113,MX,88
10363,MX,83
1244,MX,81
10181,MX,76
3131,MX,76
1621,MX,73
4378,MX,70
10114,MX,61
6189,MX,61
6237,MX,59
3245,MX,58
7025,MX,56
6793,MX,55
10184,MX,49
10332,MX,49
1500,MX,48
7065,MX,48
4283,MX,47
10348,MX,46
6091,MX,45
6803,MX,45
7039,MX,44
6094,MX,43
10103,MX,42
6853,MX,42
3717,MX,35
6030,MX,35
6212,MX,35
7259,MX,35
3550,MX,33
4322,MX,33
7017,MX,31
7219,MX,31
1547,MX,30
1906,MX,29
7266,MX,29
4649,MX,28
3107,MX,27
3970,MX,27
6323,MX,27
3246,MX,26
4036,MX,26
6494,MX,26
1511,MX,25
6831,MX,25
3212,MX,24
3935,MX,23
4731,MX,23
6854,MX,23
1545,MX,22
3720,MX,21
3995,MX,21
7095,MX,21
6040,MX,20
6945,MX,20
6966,MX,20
6981,MX,20
3491,MX,19
10337,MX,18
4279,MX,18
4706,MX,18
4736,MX,18
6042,MX,18
6666,MX,18
7045,MX,18
10108,MX,17
1203,MX,17
1845,MX,17
6947,MX,17
7070,MX,17
1200,MX,16
3346,MX,16
6932,MX,16
1420,MX,15
1898,MX,15
3637,MX,15
3647,MX,15
4723,MX,15
6193,MX,15
3351,MX,14
6229,MX,14
6306,MX,14
1186,MX,13
3653,MX,13
4356,MX,13
4733,MX,13
7011,MX,13
7072,MX,13
3426,MX,12
3914,MX,12
4656,MX,12
6148,MX,12
6818,MX,12
3714,MX,11
3929,MX,11
3987,MX,11
4725,MX,11
6479,MX,11
10111,MX,10
10349,MX,10
1573,MX,10
3476,MX,10
4518,MX,10
4652,MX,10
6930,MX,10
7124,MX,10
3308,MX,9
3368,MX,9
6409,MX,9
6790,MX,9
6928,MX,9
10039,MX,8
10342,MX,8
1830,MX,8
1853,MX,8
1920,MX,8
3439,MX,8
3687,MX,8
4405,MX,8
6723,MX,8
6910,MX,8
7068,MX,8
7200,MX,8
7275,MX,8
10053,MX,7
10105,MX,7
1235,MX,7
3307,MX,7
3440,MX,7
3809,MX,7
4410,MX,7
6024,MX,7
6211,MX,7
6322,MX,7
6534,MX,7
6698,MX,7
1650,MX,6
1911,MX,6
3730,MX,6
3921,MX,6
4558,MX,6
6063,MX,6
6381,MX,6
6405,MX,6
6490,MX,6
6543,MX,6
6911,MX,6
6912,MX,6
10086,MX,5
1816,MX,5
3744,MX,5
4374,MX,5
4515,MX,5
4522,MX,5
4557,MX,5
4645,MX,5
4666,MX,5
4708,MX,5
6624,MX,5
6778,MX,5
7055,MX,5
7220,MX,5
7287,MX,5
10018,MX,4
10024,MX,4
10042,MX,4
10335,MX,4
1180,MX,4
1428,MX,4
1484,MX,4
1527,MX,4
3250,MX,4
3363,MX,4
3813,MX,4
3922,MX,4
3990,MX,4
4079,MX,4
4580,MX,4
4639,MX,4
4687,MX,4
4748,MX,4
6032,MX,4
6158,MX,4
7046,MX,4
7088,MX,4
10330,MX,3
1105,MX,3
1459,MX,3
1491,MX,3
1521,MX,3
1566,MX,3
1612,MX,3
1717,MX,3
3200,MX,3
3634,MX,3
3766,MX,3
3812,MX,3
3833,MX,3
3933,MX,3
4109,MX,3
4233,MX,3
4578,MX,3
6142,MX,3
6180,MX,3
6312,MX,3
6485,MX,3
6796,MX,3
6944,MX,3
7018,MX,3
7105,MX,3
7235,MX,3
1461,MX,2
1513,MX,2
1630,MX,2
