Camera,Type,Measure 2
10027,VA,397
4678,VA,308
10104,VA,91
6782,VA,91
1550,VA,71
10052,VA,54
1201,VA,35
3206,VA,35
1817,VA,34
7203,VA,23
10207,VA,17
4145,VA,13
4407,VA,12
3661,VA,10
10161,VA,6
7151,VA,6
1539,VA,5
6749,VA,5
7064,VA,5
6025,VA,4
7020,VA,4
7062,VA,4
10054,VA,3
10354,VA,3
3753,VA,3
4203,VA,3
7014,VA,3
10020,VA,2
10197,VA,2
4688,VA,2
6467,VA,2
7059,VA,2
1631,VA,1
3145,VA,1
4538,VA,1
6031,VA,1
6393,VA,1
6767,VA,1
7042,VA,1
7201,VA,1
10029,VA,0
10113,VA,0
10185,VA,0
10195,VA,0
10241,VA,0
10331,VA,0
1557,VA,0
1558,VA,0
3417,VA,0
3419,VA,0
3845,VA,0
3849,VA,0
4381,VA,0
4559,VA,0
4563,VA,0
4579,VA,0
4614,VA,0
6029,VA,0
6985,VA,0
7051,VA,0
7109,VA,0
7214,VA,0
7265,VA,null
